effective_date,symbol,adj_open,adj_high,adj_low,adj_close,adj_volume,bb_middle,bb_upper,bb_lower,kc_middle,kc_2_upper,kc_2_lower,kc_3_upper,kc_3_lower,kc_1_upper,kc_1_lower,macd,wave_a,wave_b,wave_c,macd_up,squeeze,squeeze_value
2018-02-23,MSFT,92.75,94.07,92.36,94.06,25779955.0,91.4595,96.304368,86.614632,91.155589,95.818421,86.492757,98.149837,84.161341,93.487005,88.824173,,,,,False,False,0
2018-02-22,MSFT,92.05,92.73,91.36,91.74,22723756.0,91.373,96.089126,86.656874,90.849861,95.512911,86.186811,97.844436,83.855286,93.181386,88.518336,,,,,False,False,0
2018-02-21,MSFT,92.98,93.3595,91.49,91.49,26081953.0,91.377,96.0945,86.6595,90.756163,95.567139,85.945187,97.972627,83.539699,93.161651,88.350675,,,,,False,False,0
2018-02-20,MSFT,91.475,93.06,91.01,92.72,30107057.0,91.3975,96.120346,86.674654,90.678917,95.572353,85.785481,98.019071,83.338763,93.125635,88.232199,,,,,False,False,0
2018-02-16,MSFT,92.45,93.5,91.8,92.0,30188535.0,91.342,96.027316,86.656684,90.464066,95.418536,85.509596,97.895771,83.032361,92.941301,87.986831,,,,,False,False,0
2018-02-15,MSFT,91.21,92.72,90.62,92.66,27407914.0,91.242,95.952178,86.531822,90.302389,95.376433,85.228345,97.913455,82.691323,92.839411,87.765367,,,,,False,False,0
2018-02-14,MSFT,88.51,90.99,88.41,90.81,34314101.0,91.114,95.80217,86.42583,90.054219,95.195497,84.912941,97.766136,82.342302,92.624858,87.48358,,,,,False,False,0
2018-02-13,MSFT,88.93,90.0,87.8,89.83,26200053.0,91.0805,95.786422,86.374578,89.974663,95.114501,84.834825,97.68442,82.264906,92.544582,87.404744,,,,,False,False,0
2018-02-12,MSFT,88.735,89.78,87.9295,89.13,35501368.0,91.0065,95.833732,86.179268,89.989891,95.186639,84.793143,97.785013,82.194769,92.588265,87.391517,,,,,False,False,0
2018-02-09,MSFT,86.3,88.93,83.83,88.1,57408480.0,91.029,95.825132,86.232868,90.080405,95.392211,84.768599,98.048114,82.112696,92.736308,87.424502,,,,,False,False,0
2018-02-08,MSFT,89.71,89.875,84.76,84.89,47485202.0,91.028,95.826582,86.229418,90.288869,95.224661,85.353077,97.692557,82.885181,92.756765,87.820973,,,,,False,False,0
2018-02-07,MSFT,90.49,91.77,89.2,89.61,40340551.0,91.1745,95.353468,86.995532,90.857171,95.385715,86.328627,97.649987,84.064355,93.121443,88.592899,,,,,False,True,0
2018-02-06,MSFT,86.89,91.475,85.25,91.33,66157030.0,91.105,95.429436,86.780564,90.988452,95.469962,86.506942,97.710717,84.266187,93.229207,88.747697,,,,,False,True,0
2018-02-05,MSFT,90.56,93.24,88.08,89.05,42253469.0,90.9525,95.446242,86.458758,90.9525,94.821048,87.083952,96.755322,85.149678,92.886774,89.018226,,,,,False,False,0
2018-02-02,MSFT,93.64,93.97,91.5,91.78,47076959.0,90.9095,95.490842,86.328158,91.116296,94.48858,87.744012,96.174722,86.05787,92.802438,89.430154,,,,,False,False,0
2018-02-01,MSFT,94.79,96.07,93.5813,94.26,46645657.0,90.676,95.52433,85.82767,91.046433,94.253507,87.839359,95.857044,86.235822,92.64997,89.442896,,,,,False,False,0
2018-01-31,MSFT,93.75,95.4,93.51,95.01,44284284.0,90.2805,95.185034,85.375966,90.708162,93.779058,87.637266,95.314506,86.101818,92.24361,89.172714,,,,,False,False,0
2018-01-30,MSFT,93.3,93.66,92.1,92.74,34153798.0,89.8275,94.572038,85.082962,90.255337,93.153225,87.357449,94.602169,85.908505,91.704281,88.806393,,,,,False,False,0
2018-01-29,MSFT,95.14,95.45,93.72,93.92,30409620.0,89.4675,94.363644,84.571356,89.993794,92.834596,87.152992,94.254997,85.732591,91.414195,88.573393,,,,,False,False,0
2018-01-26,MSFT,93.12,94.06,92.58,94.06,26348999.0,89.0575,93.763202,84.351798,89.580509,92.373681,86.787337,93.770267,85.390751,90.977095,88.183923,,,,,False,False,0
2018-01-25,MSFT,92.465,93.24,91.93,92.33,23983094.0,88.64,92.962332,84.317668,89.108984,91.660318,86.55765,92.935985,85.281983,90.384651,87.833317,,,,,False,False,0
2018-01-24,MSFT,92.55,93.43,91.58,91.82,32107765.0,88.2935,92.486186,84.100814,88.769929,91.299059,86.240799,92.563624,84.976234,90.034494,87.505364,,,,,False,False,0
2018-01-23,MSFT,91.9,92.3,91.54,91.9,22283365.0,87.978,92.008234,83.947766,88.448869,90.887931,86.009807,92.107462,84.790276,89.6684,87.229338,,,,,False,False,0
2018-01-22,MSFT,90.0,91.62,89.74,91.61,23190700.0,87.658,91.397634,83.918366,88.085592,90.595352,85.575832,91.850232,84.320952,89.340472,86.830712,,,,,False,False,0
2018-01-19,MSFT,90.14,90.61,89.66,90.0,34896964.0,87.3535,90.73056,83.97644,87.714602,90.12819,85.301014,91.334984,84.09422,88.921396,86.507808,,,,,False,False,0
2018-01-18,MSFT,89.8,90.67,89.66,90.1,22931303.0,87.145,90.353436,83.936564,87.474034,89.927128,85.02094,91.153675,83.794393,88.700581,86.247487,,,,,False,False,0
2018-01-17,MSFT,89.08,90.28,88.75,90.14,24659472.0,86.959,89.878986,84.039014,87.197616,89.684026,84.711206,90.927231,83.468001,88.440821,85.954411,,,,,False,False,0
2018-01-16,MSFT,90.1,90.79,88.0104,88.35,35945428.0,86.7945,89.32367,84.26533,86.887892,89.26864,84.507144,90.459014,83.31677,88.078266,85.697518,,,,,False,False,0
2018-01-12,MSFT,88.67,89.78,88.45,89.58,24000439.0,86.6115,89.19309,84.02991,86.733985,88.870237,84.597733,89.938363,83.529607,87.802111,85.665859,,,,,False,False,0
2018-01-11,MSFT,88.13,88.13,87.24,88.08,16529868.0,86.4,88.645342,84.154658,86.434405,88.473445,84.395365,89.492965,83.375845,87.453925,85.414885,,,,,False,False,0
2018-01-10,MSFT,87.86,88.19,87.41,87.82,18129153.0,86.275,88.407852,84.142148,86.261184,88.320152,84.202216,89.349636,83.172732,87.290668,85.2317,,,,,False,False,0
2018-01-09,MSFT,88.65,88.7272,87.86,88.22,19390427.0,86.1455,88.200488,84.090512,86.097099,88.189833,84.004365,89.2362,82.957998,87.143466,85.050732,,,,,False,False,0
2018-01-08,MSFT,88.2,88.58,87.6046,88.28,20293930.0,85.9425,87.938966,83.946034,85.873635,87.993933,83.753337,89.054082,82.693188,86.933784,84.813486,,,,,False,True,0
2018-01-05,MSFT,87.66,88.41,87.43,88.19,22526563.0,85.653,87.876016,83.429984,85.620334,87.75367,83.486998,88.820338,82.42033,86.687002,84.553666,,,,,False,False,0
2018-01-04,MSFT,86.59,87.66,86.57,87.11,21145985.0,85.3825,87.6214,83.1436,85.349842,87.44728,83.252404,88.495999,82.203685,86.398561,84.301123,,,,,False,False,0
2018-01-03,MSFT,86.055,86.51,85.97,86.35,24173064.0,85.1065,87.749932,82.463068,85.164563,87.221805,83.107321,88.250426,82.0787,86.193184,84.135942,,,,,False,False,0
2018-01-02,MSFT,86.125,86.31,85.5,85.95,21993101.0,84.843,87.948364,81.737636,85.03978,87.169118,82.910442,88.233787,81.845773,86.104449,83.975111,,,,,False,False,0
2017-12-29,MSFT,85.63,86.05,85.5,85.54,18162779.0,84.7585,87.83057,81.68643,84.943967,87.112485,82.775449,88.196744,81.69119,86.028226,83.859708,,,,,False,False,0
2017-12-28,MSFT,85.9,85.93,85.55,85.72,9872795.0,84.69,87.750386,81.629614,84.881227,87.131937,82.630517,88.257292,81.505162,86.006582,83.755872,,,,,False,False,0
2017-12-27,MSFT,85.65,85.98,85.215,85.71,13000828.0,84.571,87.646978,81.495022,84.792935,87.158317,82.427553,88.341008,81.244862,85.975626,83.610244,,,,,False,False,0
2017-12-26,MSFT,85.31,85.5346,85.03,85.4,9737412.0,84.5295,87.56502,81.49398,84.696402,87.126044,82.26676,88.340865,81.051939,85.911223,83.481581,,,,,False,False,0
2017-12-22,MSFT,85.4,85.63,84.92,85.51,14033977.0,84.453,87.473994,81.432006,84.622339,87.161245,82.083433,88.430698,80.81398,85.891792,83.352886,,,,,False,False,0
2017-12-21,MSFT,86.05,86.1,85.4,85.5,16638402.0,84.3405,87.363244,81.317756,84.528901,87.153877,81.903925,88.466365,80.591437,85.841389,83.216413,,,,,False,False,0
2017-12-20,MSFT,86.2,86.3,84.71,85.52,23425009.0,84.221,87.239906,81.202094,84.42668,87.145884,81.707476,88.505486,80.347874,85.786282,83.067078,,,,,False,False,0
2017-12-19,MSFT,86.35,86.35,85.27,85.83,23241979.0,84.131,87.096488,81.165512,84.311594,86.995352,81.627836,88.337231,80.285957,85.653473,82.969715,,,,,False,False,0
2017-12-18,MSFT,87.12,87.4999,86.23,86.38,21551076.0,83.966,86.902074,81.029926,84.151761,86.871193,81.432329,88.230909,80.072613,85.511477,82.792045,,,,,False,False,0
2017-12-15,MSFT,85.26,87.09,84.88,86.85,52430167.0,83.767,86.557542,80.976458,83.91721,86.65046,81.18396,88.017085,79.817335,85.283835,82.550585,,,,,False,False,0
2017-12-14,MSFT,85.43,85.8739,84.53,84.69,19080106.0,83.5845,85.996392,81.172608,83.608495,86.182765,81.034225,87.4699,79.74709,84.89563,82.32136,,,,,False,True,0
2017-12-13,MSFT,85.74,86.0,85.17,85.35,21307911.0,83.499,85.868944,81.129056,83.494653,86.060189,80.929117,87.342957,79.646349,84.777421,82.211885,,,,,False,True,0
2017-12-12,MSFT,85.31,86.05,85.08,85.58,23534946.0,83.412836,85.62755,81.198122,83.299353,85.934545,80.664161,87.252141,79.346565,84.616949,81.981757,,,,,False,True,0
2017-12-11,MSFT,84.29,85.37,84.12,85.23,19909119.0,83.309203,85.290231,81.328175,83.059285,85.747955,80.370615,87.09229,79.02628,84.40362,81.71495,,,,,False,True,0
2017-12-08,MSFT,83.63,84.58,83.33,84.16,23825056.0,83.220085,84.997341,81.442829,82.830788,85.53397,80.127606,86.885561,78.776015,84.182379,81.479197,,,,,False,True,0
2017-12-07,MSFT,82.54,82.8,82.0,82.49,20378114.0,83.195411,84.933047,81.457775,82.690871,85.280451,80.101291,86.575241,78.806501,83.985661,81.396081,,,,,False,True,0
2017-12-06,MSFT,81.55,83.14,81.43,82.78,24821403.0,83.263192,84.991206,81.535178,82.712016,85.377718,80.046314,86.710569,78.713463,84.044867,81.379165,,,,,False,True,0
2017-12-05,MSFT,81.34,82.68,80.9801,81.59,25512120.0,83.326422,85.07155,81.581294,82.704859,85.312539,80.097179,86.616379,78.793339,84.008699,81.401019,,,,,False,True,0
2017-12-04,MSFT,84.42,84.4299,80.7,81.08,37977732.0,83.432736,84.99082,81.874652,82.822213,85.368961,80.275465,86.642335,79.002091,84.095587,81.548839,,,,,False,True,0
2017-12-01,MSFT,83.6,84.81,83.22,84.26,29113662.0,83.560072,84.684002,82.436142,83.005604,85.174424,80.836784,86.258834,79.752374,84.090014,81.921194,,,,,False,True,0
2017-11-30,MSFT,83.51,84.52,83.34,84.17,32074914.0,83.485128,84.612268,82.357988,82.873562,84.9646,80.782524,86.010119,79.737005,83.919081,81.828043,,,,,False,True,0
2017-11-29,MSFT,84.71,84.9172,83.175,83.34,26401761.0,83.414683,84.537903,82.291463,82.737095,84.807443,80.666747,85.842617,79.631573,83.772269,81.701921,,,,,False,True,0
2017-11-28,MSFT,84.07,85.06,84.02,84.88,21162639.0,83.42106,84.54396,82.29816,82.673631,84.635205,80.712057,85.615992,79.73127,83.654418,81.692844,,,,,False,True,0
2017-11-27,MSFT,83.31,83.98,83.3,83.87,17603760.0,83.346456,84.24821,82.444702,82.441382,84.37077,80.511994,85.335464,79.5473,83.406076,81.476688,,,,,False,True,0
2017-11-24,MSFT,83.01,83.43,82.78,83.26,7425503.0,83.071125,85.399503,80.742747,82.291001,84.258035,80.323967,85.241552,79.34045,83.274518,81.307484,,,,,False,False,0
2017-11-22,MSFT,83.83,83.9,83.04,83.11,20213704.0,82.819826,85.956882,79.68277,82.189001,84.207345,80.170657,85.216517,79.161485,83.198173,81.179829,,,,,False,False,0
2017-11-21,MSFT,82.74,83.84,82.74,83.72,21033981.0,82.587469,86.248745,78.926193,82.092054,84.133346,80.050762,85.153992,79.030116,83.1127,81.071408,,,,,False,False,0
2017-11-20,MSFT,82.4,82.59,82.25,82.53,16072495.0,82.32312,86.36302,78.28322,81.920692,83.917468,79.923916,84.915856,78.925528,82.91908,80.922304,,,,,False,False,0
2017-11-17,MSFT,83.12,83.12,82.24,82.4,21715498.0,82.117276,86.4991,77.735452,81.856554,83.954622,79.758486,85.003656,78.709452,82.905588,80.80752,,,,,False,False,0
2017-11-16,MSFT,83.1,83.42,82.94,83.2,20659209.0,81.873158,86.687442,77.058874,81.799349,83.911113,79.687585,84.966995,78.631703,82.855231,80.743467,,,,,False,False,0
2017-11-15,MSFT,83.47,83.69,82.69,82.98,19097333.0,81.574116,86.750936,76.397296,81.651912,83.852274,79.45155,84.952455,78.351369,82.752093,80.551731,,,,,False,False,0
2017-11-14,MSFT,83.079496,83.676475,82.562115,83.626727,18604034.0,81.285079,86.752973,75.817185,81.512113,83.727887,79.296339,84.835774,78.188452,82.62,80.404226,,,,,False,False,0
2017-11-13,MSFT,83.238691,83.517281,83.039698,83.507331,14080820.0,80.96669,86.591426,75.341954,81.289522,83.5043,79.074744,84.611689,77.967355,82.396911,80.182133,,,,,False,False,0
2017-11-10,MSFT,83.368036,83.6715,82.810856,83.447633,19340435.0,80.646312,86.384494,74.90813,81.056069,83.367741,78.744397,84.523577,77.588561,82.211905,79.900233,,,,,False,False,0
2017-11-09,MSFT,83.686424,83.845619,82.482518,83.666525,20924172.0,80.310511,86.138989,74.482033,80.804325,83.161411,78.447239,84.339954,77.268696,81.982868,79.625782,,,,,False,False,0
