date,open,high,low,close,volume,adj_close
2017-05-02,69.71,69.71,69.13,69.3,23000828.0,68.202476
2017-05-03,69.38,69.38,68.71,69.08,28725646.0,67.98596
2017-05-04,69.03,69.08,68.64,68.81,21421413.0,67.720237
2017-05-05,68.9,69.03,68.485,69.0,18882845.0,67.907227
2017-05-08,68.97,69.05,68.42,68.94,18446053.0,67.848178
2017-05-09,68.86,69.28,68.68,69.04,22318181.0,67.946594
2017-05-10,68.99,69.56,68.92,69.31,17842038.0,68.212318
2017-05-11,68.36,68.73,68.12,68.46,27985424.0,67.37578
2017-05-12,68.61,68.61,68.04,68.38,17073013.0,67.297047
2017-05-15,68.14,68.48,67.57,68.43,30705323.0,67.346255
2017-05-16,68.23,69.44,68.16,69.41,33250702.0,68.694558
2017-05-17,68.89,69.1,67.43,67.48,29964198.0,66.784451
2017-05-18,67.4,68.13,67.14,67.71,24789790.0,67.01208
2017-05-19,67.5,68.095,67.43,67.69,26496478.0,66.992286
2017-05-22,67.89,68.5,67.5,68.45,15484530.0,67.744453
2017-05-23,68.72,68.75,68.38,68.68,15347877.0,67.972082
2017-05-24,68.87,68.88,68.45,68.77,14422965.0,68.061154
2017-05-25,68.97,69.88,68.91,69.62,21702912.0,68.902393
2017-05-26,69.8,70.22,69.52,69.97,19644260.0,69.248785
2017-05-30,69.79,70.41,69.77,70.41,16901792.0,69.68425
2017-05-31,70.53,70.74,69.81,69.84,29538356.0,69.120125
2017-06-01,70.24,70.61,69.451,70.1,21066468.0,69.377445
2017-06-02,70.44,71.86,70.24,71.76,34586054.0,71.020335
2017-06-05,71.97,72.89,71.81,72.28,29507429.0,71.534975
2017-06-06,72.3,72.62,72.27,72.52,31220057.0,71.772501
2017-06-07,72.635,72.77,71.95,72.39,21895156.0,71.643841
2017-06-08,72.51,72.52,71.5,71.945,23982410.0,71.203428
2017-06-09,72.035,72.08,68.59,70.32,48619420.0,69.595178
2017-06-12,69.25,69.94,68.13,69.78,47363986.0,69.060744
2017-06-13,70.02,70.82,69.96,70.65,24815455.0,69.921776
2017-06-14,70.91,71.1,69.43,70.27,25271276.0,69.545693
2017-06-15,69.27,70.21,68.8,69.9,25701569.0,69.179507
2017-06-16,69.73,70.0252,69.22,70.0,46911637.0,69.278476
2017-06-19,70.5,70.945,70.35,70.87,23146852.0,70.139509
2017-06-20,70.82,70.87,69.87,69.91,20775590.0,69.189404
2017-06-21,70.21,70.62,69.94,70.27,19190623.0,69.545693
2017-06-22,70.54,70.59,69.71,70.26,22222851.0,69.535796
2017-06-23,70.09,71.25,69.92,71.21,23176418.0,70.476004
2017-06-26,71.4,71.71,70.445,70.53,19308122.0,69.803013
2017-06-27,70.11,70.18,69.18,69.21,24862560.0,68.496619
2017-06-28,69.21,69.841,68.79,69.8,25226070.0,69.080538
2017-06-29,69.38,69.49,68.09,68.49,28231562.0,67.78404
2017-06-30,68.78,69.38,68.74,68.93,23039328.0,68.219505
2017-07-03,69.33,69.6,68.02,68.17,16164331.0,67.467339
2017-07-05,68.255,69.44,68.22,69.08,20174523.0,68.367959
2017-07-06,68.27,68.78,68.12,68.57,20776555.0,67.863216
2017-07-07,68.7,69.84,68.7,69.46,15897154.0,68.744042
2017-07-10,69.46,70.25,69.2,69.98,14903400.0,69.258682
2017-07-11,70.0,70.68,69.75,69.99,16880205.0,69.268579
2017-07-12,70.69,71.28,70.55,71.15,17382861.0,70.416623
2017-07-13,71.5,72.0399,71.31,71.77,20149208.0,71.030232
2017-07-14,72.24,73.27,71.96,72.78,25689303.0,72.029821
2017-07-17,72.8,73.45,72.72,73.35,21481069.0,72.593946
2017-07-18,73.09,73.39,72.66,73.3,26150272.0,72.544462
